iter	Passed	Remaining
0	157	157268
1	169	84529
2	180	60033
3	194	48392
4	205	40972
5	219	36308
6	225	32017
7	237	29453
8	246	27175
9	258	25632
10	266	23992
11	281	23213
12	293	22262
13	309	21794
14	319	21000
15	334	20541
16	354	20495
17	367	20023
18	375	19398
19	384	18818
20	395	18458
21	404	17998
22	416	17694
23	441	17960
24	465	18161
25	495	18558
26	525	18954
27	549	19083
28	577	19348
29	592	19145
30	602	18822
31	619	18752
32	657	19264
33	680	19331
34	692	19102
35	706	18910
36	719	18724
37	739	18711
38	776	19131
39	806	19352
40	819	19160
41	834	19041
42	850	18929
43	877	19072
44	904	19194
45	917	19022
46	939	19053
47	953	18911
48	964	18727
49	976	18550
50	987	18368
51	997	18192
52	1010	18058
53	1029	18039
54	1041	17901
55	1055	17792
56	1074	17784
57	1090	17713
58	1107	17659
59	1124	17613
60	1141	17572
61	1153	17446
62	1172	17438
63	1190	17413
64	1204	17328
65	1219	17251
66	1231	17151
67	1245	17071
68	1261	17024
69	1276	16956
70	1284	16803
71	1302	16783
72	1323	16807
73	1335	16716
74	1351	16674
75	1373	16699
76	1395	16728
77	1412	16701
78	1423	16599
79	1437	16526
80	1452	16481
81	1464	16392
82	1476	16317
83	1488	16229
84	1509	16251
85	1523	16191
86	1538	16149
87	1555	16120
88	1571	16089
89	1589	16066
90	1597	15954991	1605	15848992	1615	15760993	1632	15732
94	1640	15632995	1653	15568996	1665	15500997	1698	1562898	1706	15532
99	1742	15682
100	1758	15653
101	1778	15655
102	1812	15787
103	1852	15958
104	1880	16026
105	1903	16054
106	1930	16110
107	1944	16063
108	1970	16108
109	1987	16076
110	2000	16024
111	2014	15972
112	2031	15942
113	2045	15893
114	2057	15831
115	2077	15835
116	2104	15883
117	2137	15974
118	2166	16042
119	2182	16001
1120	2216	16104121	2207	15884
122	2219	15828
123	2230	15757
124	2247	15730
125	2262	15693
126	2280	15677
127	2296	15647
128	2323	15687
129	2341	15668
130	2352	15602
131	2364	15546
1132	2404	15676133	2394	15472
134	2406	15418
135	2421	15382
1136	2459	15495137	2448	15295
138	2461	15247
139	2476	15209
140	2488	15162
141	2499	15105
1142	2535	15196143	2524	15005
1144	2568	151461145	2583	151091146	2598	150751147	2608	150151148	2622	149811149	2638	149541150	2649	148961151	2661	148491152	2674	148081153	2686	147571154	2701	147241155	2716	146941156	2729	146551157	2743	146191158	2765	14627
159	2781	14602
160	2794	14561
161	2819	14587
162	2833	14550
163	2847	14515
164	2865	14500
165	2878	14459
166	2888	14407
167	2901	14371
168	2913	14327
169	2927	14294
170	2940	14254
171	2951	14206
172	2965	14175
173	2978	14140
174	2994	14117
175	3004	14065
176	3018	14033
177	3033	14009
178	3054	14009
179	3067	13974
180	3083	13953
181	3097	13920
182	3113	13902
183	3129	13878
184	3141	13838
185	3154	13805
186	3169	13778
187	3182	13746
188	3204	13750
189	3222	13739
190	3233	13697
191	3248	13670
192	3263	13644
193	3275	13609
194	3287	13572
195	3305	13557
196	3319	13532
197	3332	13500
198	3347	13474
199	3360	13441
200	3375	13419
201	3385	13375
202	3395	13330
203	3406	13290
204	3431	13307
205	3446	13283
206	3457	13246
207	3470	13214
208	3481	13176
209	3495	13149
210	3510	13128
211	3522	13091
212	3535	13061
213	3547	13031
214	3559	12995
215	3574	12972
216	3582	12926
217	3595	12897
218	3613	12885
219	3631	12875
220	3643	12842
221	3663	12838
222	3675	12807
223	3688	12779
224	3703	12754
225	3716	12728
226	3728	12698
227	3739	12663
228	3751	12631
229	3766	12609
230	3779	12581
231	3793	12556
232	3807	12533
233	3821	12510
234	3834	12482
235	3844	12445
236	3856	12416
237	3868	12385
238	3879	12351
239	3887	12311
240	3898	12278
241	3909	12246
242	3923	12223
243	3939	12205
244	3953	12182
245	3974	12183
246	3993	12175
247	3999	12127
248	4006	12082
249	4012	12037250	4019	11993
251	4046	12009
252	4061	11990
253	4072	11960
254	4104	11991
255	4138	12028
256	4174	12068
257	4203	12087
258	4228	12098
2259	4249	12095260	4261	12064
261	4278	12050
2262	4295	120382263	4305	12004264	4314	11967
265	4325	11935
266	4337	11908
267	4351	11885
268	4366	11866
269	4382	11850
270	4415	11877
271	4458	11931
272	4477	11924
273	4491	11901
274	4502	11870
275	4514	11841
276	4524	11810
277	4538	11788
278	4554	11768
279	4569	11749
280	4586	11735
281	4599	11709
282	4612	11685
283	4622	11654
284	4633	11625
285	4642	11591
286	4654	11564
287	4664	11532
288	4676	11506
289	4687	11475
290	4701	11455
291	4711	11422
292	4720	11389
293	4729	11358
294	4742	11333
295	4753	11305
296	4762	11272
297	4774	11246
298	4787	11223
299	4799	11197
300	4823	11200
301	4870	11256
302	4909	11294
303	4923	11271
304	4937	11250
305	4948	11222
306	4959	11196
307	4970	11167
308	4982	11141
309	4993	11114
310	5009	11098
311	5020	11071
